"annotation_id","annotator","created_at","id","label","lead_time","review","updated_at"
18,"1","2026-02-15T18:14:55.765917Z",18,"Neutral",12.758,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","2026-02-15T18:14:55.765917Z"
19,"1","2026-02-15T18:15:03.215615Z",19,"Negative",6.545,"I tried to like it, I really did, but it failed. I walked out halfway through.","2026-02-15T18:15:03.215615Z"
20,"1","2026-02-15T18:15:07.121850Z",20,"Neutral",3.343,"I am confused about how I feel. Your mileage may vary significantly.","2026-02-15T18:15:07.121850Z"
21,"1","2026-02-15T18:15:11.564014Z",21,"Neutral",3.908,"I have mixed feelings about this one. You won't remember it a week from now.","2026-02-15T18:15:11.564014Z"
22,"1","2026-02-15T18:15:24.993838Z",22,"Positive",12.531,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","2026-02-15T18:15:24.993838Z"
23,"1","2026-02-15T18:15:49.214019Z",23,"Neutral",23.384,"The costume design distracted me from everything else. I struggled to sit through the first half.","2026-02-15T18:15:49.214019Z"
24,"1","2026-02-15T18:15:52.074139Z",24,"Positive",2.345,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","2026-02-15T18:15:52.074139Z"
25,"1","2026-02-15T18:15:55.948362Z",25,"Positive",3.36,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","2026-02-15T18:15:55.948362Z"
26,"1","2026-02-15T18:15:58.065716Z",26,"Negative",1.594,"I have never been so bored in my life. Utterly disappointing.","2026-02-15T18:15:58.065716Z"
27,"1","2026-02-15T18:16:01.353519Z",27,"Positive",2.743,"A refreshing take on a tired genre. Don't miss this one.","2026-02-15T18:16:01.353519Z"
28,"1","2026-02-15T18:16:04.422114Z",28,"Neutral",2.253,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","2026-02-15T18:16:04.422114Z"
29,"1","2026-02-15T18:16:06.705351Z",29,"Negative",1.802,"What a complete waste of potential. It’s a hard pass from me.","2026-02-15T18:16:06.705351Z"
30,"1","2026-02-15T18:16:11.439872Z",30,"Neutral",4.185,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","2026-02-15T18:16:11.439872Z"
31,"1","2026-02-15T18:16:14.509098Z",31,"Neutral",2.234,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","2026-02-15T18:16:14.509098Z"
32,"1","2026-02-15T18:16:16.929616Z",32,"Neutral",1.846,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","2026-02-15T18:16:16.929616Z"
33,"1","2026-02-15T18:16:20.958246Z",33,"Neutral",3.446,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","2026-02-15T18:16:20.958246Z"
34,"1","2026-02-15T18:16:25.727058Z",34,"Negative",3.914,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","2026-02-15T18:16:25.727058Z"
35,"1","2026-02-15T18:16:28.691937Z",35,"Neutral",2.42,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","2026-02-15T18:16:28.691937Z"
36,"1","2026-02-15T18:16:36.855900Z",36,"Positive",7.254,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","2026-02-15T18:16:36.855900Z"
37,"1","2026-02-15T18:16:38.821075Z",37,"Positive",1.476,"It perfectly balances humor and drama. This movie is a triumph in every sense.","2026-02-15T18:16:38.822073Z"
38,"1","2026-02-15T18:16:41.401029Z",38,"Negative",1.999,"A frustrating experience. Avoid this at all costs.","2026-02-15T18:16:41.401029Z"
39,"1","2026-02-15T18:16:47.788372Z",39,"Negative",5.585,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","2026-02-15T18:16:47.788372Z"
40,"1","2026-02-15T18:16:50.617259Z",40,"Positive",2.283,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","2026-02-15T18:16:50.617259Z"
41,"1","2026-02-15T18:16:54.565427Z",41,"Positive",3.099,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","2026-02-15T18:16:54.565427Z"
42,"1","2026-02-15T18:17:01.116851Z",42,"Positive",5.994,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","2026-02-15T18:17:01.116851Z"
43,"1","2026-02-15T18:17:06.349093Z",43,"Neutral",4.384,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","2026-02-15T18:17:06.349093Z"
44,"1","2026-02-15T18:17:10.488419Z",44,"Neutral",3.586,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","2026-02-15T18:17:10.488419Z"
45,"1","2026-02-15T18:17:12.483934Z",45,"Neutral",1.46,"I am confused about how I feel. A polarizing experience for sure.","2026-02-15T18:17:12.483934Z"
46,"1","2026-02-15T18:17:19.963307Z",46,"Negative",6.936,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","2026-02-15T18:17:19.964310Z"
47,"1","2026-02-15T18:17:31.543882Z",47,"Neutral",10.764,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","2026-02-15T18:17:31.543882Z"
48,"1","2026-02-15T18:17:34.155497Z",48,"Positive",1.763,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","2026-02-15T18:17:34.155497Z"
49,"1","2026-02-15T18:17:39.389235Z",49,"Negative",4.647,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","2026-02-15T18:17:39.389235Z"
50,"1","2026-02-15T18:17:44.584265Z",50,"Neutral",4.308,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","2026-02-15T18:17:44.584265Z"
51,"1","2026-02-15T18:17:47.883688Z",51,"Positive",2.788,"An absolute joy to watch from start to finish. Two thumbs way up.","2026-02-15T18:17:47.883688Z"
52,"1","2026-02-15T18:18:37.929872Z",52,"Negative",49.215,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","2026-02-15T18:18:37.929872Z"
53,"1","2026-02-15T18:18:41.555619Z",53,"Negative",3.044,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","2026-02-15T18:18:41.555619Z"
54,"1","2026-02-15T18:18:46.223520Z",54,"Negative",3.783,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","2026-02-15T18:18:46.223520Z"
55,"1","2026-02-15T18:18:48.469412Z",55,"Positive",5.774,"Finally, a movie that respects the audience. Two thumbs way up.","2026-02-15T18:18:57.030463Z"
56,"1","2026-02-15T18:19:07.842952Z",56,"Negative",4.113,"I oscillated between loving and hating this film. It’s definitely not for everyone.","2026-02-15T18:19:07.842952Z"
57,"1","2026-02-15T18:19:11.210485Z",57,"Positive",2.758,"I was completely blown away by this film. Don't miss this one.","2026-02-15T18:19:11.210485Z"
58,"1","2026-02-15T18:19:14.249303Z",58,"Positive",2.186,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","2026-02-15T18:19:14.249303Z"
59,"1","2026-02-15T18:19:19.437254Z",59,"Negative",4.655,"Total garbage. A complete misfire.","2026-02-15T18:19:19.437254Z"
60,"1","2026-02-15T18:19:22.222352Z",60,"Negative",2.298,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","2026-02-15T18:19:22.222352Z"
61,"1","2026-02-15T18:19:28.362882Z",61,"Positive",5.289,"Standard fare for this type of movie. Wait for it to come out on streaming.","2026-02-15T18:19:28.362882Z"
62,"1","2026-02-15T18:19:30.172714Z",62,"Negative",1.327,"I have never been so bored in my life. Do not bother.","2026-02-15T18:19:30.172714Z"
63,"1","2026-02-15T18:19:33.410583Z",63,"Neutral",2.444,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","2026-02-15T18:19:33.410583Z"
64,"1","2026-02-15T18:19:44.202945Z",64,"Neutral",9.975,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","2026-02-15T18:19:44.202945Z"
65,"1","2026-02-15T18:19:53.778708Z",65,"Positive",8.674,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","2026-02-15T18:19:53.778708Z"
66,"1","2026-02-15T18:19:58.510916Z",66,"Neutral",4.188,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","2026-02-15T18:19:58.510916Z"
67,"1","2026-02-15T18:20:25.387714Z",67,"Neutral",26.06,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","2026-02-15T18:20:25.387714Z"
68,"1","2026-02-15T18:20:35.772235Z",68,"Positive",9.567,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","2026-02-15T18:20:35.772235Z"
69,"1","2026-02-15T18:20:38.238096Z",69,"Positive",1.944,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","2026-02-15T18:20:38.238096Z"
70,"1","2026-02-15T18:20:40.967805Z",70,"Negative",2.197,"The soundtrack was frankly disjointed. Total garbage.","2026-02-15T18:20:40.967805Z"
71,"1","2026-02-15T18:21:27.593250Z",71,"Neutral",45.733,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","2026-02-15T18:21:27.593250Z"
72,"1","2026-02-15T18:21:31.281164Z",72,"Negative",3.165,"The direction was frankly uninspired. I want my two hours back.","2026-02-15T18:21:31.281164Z"
73,"1","2026-02-15T18:21:38.763689Z",73,"Neutral",6.652,"It has some good moments, especially the direction. I have mixed feelings about this one.","2026-02-15T18:21:38.763689Z"
74,"1","2026-02-15T18:21:41.909094Z",74,"Positive",2.667,"It perfectly balances humor and drama. I was completely blown away by this film.","2026-02-15T18:21:41.909094Z"
75,"1","2026-02-15T18:21:53.011895Z",75,"Neutral",10.233,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","2026-02-15T18:21:53.011895Z"
76,"1","2026-02-15T18:21:56.959338Z",76,"Positive",3.497,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","2026-02-15T18:21:56.959338Z"
77,"1","2026-02-15T18:22:53.034539Z",77,"Positive",55.605,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","2026-02-15T18:22:53.034539Z"
78,"1","2026-02-15T18:22:56.383822Z",78,"Neutral",2.554,"Standard fare for this type of movie. Good for a one-time watch.","2026-02-15T18:22:56.383822Z"
79,"1","2026-02-15T18:22:59.694875Z",79,"Negative",2.8,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","2026-02-15T18:22:59.694875Z"
80,"1","2026-02-15T18:23:09.005420Z",80,"Neutral",8.774,"A strange experience overall. I respect the ambition, even if it didn't fully land.","2026-02-15T18:23:09.005420Z"
81,"1","2026-02-15T18:23:10.936239Z",81,"Neutral",1.172,"A strange experience overall. A polarizing experience for sure.","2026-02-15T18:23:10.936239Z"
82,"1","2026-02-15T18:23:15.068861Z",82,"Neutral",3.234,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","2026-02-15T18:23:15.068861Z"
83,"1","2026-02-15T18:23:18.183820Z",83,"Neutral",2.561,"I have mixed feelings about this one. 6/10 at best.","2026-02-15T18:23:18.183820Z"
84,"1","2026-02-15T18:23:21.972539Z",84,"Negative",3.219,"I struggled to sit through the first half. A complete misfire.","2026-02-15T18:23:21.972539Z"
85,"1","2026-02-15T18:23:24.391994Z",85,"Positive",1.415,"An absolute joy to watch from start to finish. Highly recommended for everyone.","2026-02-15T18:23:24.391994Z"
86,"1","2026-02-15T18:23:26.730431Z",86,"Negative",1.677,"A frustrating experience. Zero stars if I could give it.","2026-02-15T18:23:26.730431Z"
87,"1","2026-02-15T18:23:30.468553Z",87,"Negative",2.825,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","2026-02-15T18:23:30.468553Z"
88,"1","2026-02-15T18:23:35.615412Z",88,"Positive",4.268,"It was... fine. It has some good moments, especially the character development. It is what it is.","2026-02-15T18:23:35.615412Z"
89,"1","2026-02-15T18:23:40.083505Z",89,"Negative",3.975,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","2026-02-15T18:23:40.083505Z"
90,"1","2026-02-15T18:23:42.927924Z",90,"Positive",2.298,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","2026-02-15T18:23:42.927924Z"
91,"1","2026-02-15T18:23:49.839804Z",91,"Negative",6.396,"The screenplay was okay, but forgettable. It was... fine.","2026-02-15T18:23:49.839804Z"
92,"1","2026-02-15T18:23:52.613758Z",92,"Positive",2.097,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","2026-02-15T18:23:52.613758Z"
93,"1","2026-02-15T18:23:54.607025Z",93,"Positive",1.138,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","2026-02-15T18:23:54.609024Z"
94,"1","2026-02-15T18:23:57.114063Z",94,"Neutral",1.663,"It doesn't leave a lasting impression. Middle of the road entertainment.","2026-02-15T18:23:57.114063Z"
95,"1","2026-02-15T18:24:01.449748Z",95,"Negative",3.775,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","2026-02-15T18:24:01.449748Z"
96,"1","2026-02-15T18:24:08.279139Z",96,"Neutral",6.214,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","2026-02-15T18:24:08.279139Z"
97,"1","2026-02-15T18:24:11.843732Z",97,"Negative",3.056,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","2026-02-15T18:24:11.843732Z"
98,"1","2026-02-15T18:24:18.360784Z",98,"Neutral",5.56,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","2026-02-15T18:24:18.360784Z"
99,"1","2026-02-15T18:24:22.161307Z",99,"Neutral",3.262,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","2026-02-15T18:24:22.161307Z"
100,"1","2026-02-15T18:24:27.673891Z",100,"Positive",4.971,"I was hooked from the very first minute. I can't wait to see it again.","2026-02-15T18:24:27.673891Z"
